NodeLabel                           	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate	Data Coverage
-                                   	   133	   132	    69	        0.032405	        0.010850	        0.096780	        2.601202	        61.98%
-                                   	   134	   133	    72	        0.057451	        0.021185	        0.155801	        2.363428	        92.96%
-                                   	   135	   134	    92	        0.081560	        0.032054	        0.207526	        1.850702	        99.19%
-                                   	   136	   135	   125	        0.121197	        0.051389	        0.278814	        1.966344	       100.00%
-                                   	   137	   136	   120	        0.128776	        0.058947	        0.278814	        1.882741	        98.11%
-                                   	   138	    87	    88	        0.003713	        0.001347	        0.010237	        3.025345	        67.52%
-                                   	   139	    75	    28	        0.034274	        0.011932	        0.098447	        2.056128	        93.37%
-                                   	   140	   139	    42	        0.047552	        0.017251	        0.131074	        1.896963	       100.00%
-                                   	   141	   140	   138	        0.094846	        0.041482	        0.216859	        2.395614	        96.35%
-                                   	   142	    23	    77	        0.033030	        0.011631	        0.093796	        2.531514	        80.38%
-                                   	   143	    65	    76	        0.046284	        0.015884	        0.134866	        2.736270	        70.77%
-                                   	   144	   143	     4	        0.056634	        0.020799	        0.154206	        2.250194	        82.14%
-                                   	   145	   144	   142	        0.071158	        0.027896	        0.181513	        2.386713	        97.56%
-                                   	   146	   145	    33	        0.084646	        0.035683	        0.200795	        2.378189	        96.89%
-                                   	   147	    25	    24	        0.001765	        0.000392	        0.007944	        1.745040	        31.53%
-                                   	   148	   147	   101	        0.018540	        0.006500	        0.052882	        2.373072	        90.21%
-                                   	   149	   148	    36	        0.034065	        0.012914	        0.089859	        2.040491	        99.86%
-                                   	   150	    22	    45	        0.008470	        0.002497	        0.028731	        2.868412	        86.87%
-                                   	   151	   150	    96	        0.014207	        0.004564	        0.044228	        2.953749	       100.00%
-                                   	   152	   151	    86	        0.021457	        0.007600	        0.060579	        3.215084	       100.00%
-                                   	   153	   152	    74	        0.024290	        0.009067	        0.065070	        3.120502	        93.10%
-                                   	   154	    14	    70	        0.016908	        0.004633	        0.061706	        1.886625	        85.12%
-                                   	   155	    99	    37	        0.016154	        0.005400	        0.048324	        7.912225	        37.48%
-                                   	   156	   155	    32	        0.021469	        0.008120	        0.056763	        7.931248	        67.39%
-                                   	   157	   156	   154	        0.032671	        0.012785	        0.083489	        3.868242	        97.29%
-                                   	   158	   157	   153	        0.036539	        0.014759	        0.090459	        3.474314	       100.00%
-                                   	   159	   158	   149	        0.044267	        0.018145	        0.107996	        2.662575	       100.00%
-                                   	   160	    89	    19	        0.009314	        0.002572	        0.033735	        8.661660	        76.59%
-                                   	   161	    10	    66	        0.002453	        0.000617	        0.009749	       27.253191	        89.58%
-                                   	   162	    90	   102	        0.000832	        0.000196	        0.003540	       21.192833	        73.70%
-                                   	   163	   162	   161	        0.003241	        0.000849	        0.012379	       24.032734	       100.00%
-                                   	   164	   163	    83	        0.009443	        0.002566	        0.034751	       12.950390	        85.93%
-                                   	   165	   164	   100	        0.011627	        0.003325	        0.040651	       11.492190	        96.75%
-                                   	   166	   165	   160	        0.012382	        0.003612	        0.042443	        9.977045	        97.16%
-                                   	   167	   166	    29	        0.014394	        0.004388	        0.047211	        9.978763	        94.45%
-                                   	   168	   167	     1	        0.018577	        0.006019	        0.057333	        9.044026	        89.99%
-                                   	   169	    41	    85	        0.012243	        0.003724	        0.040246	        8.748270	        62.11%
-                                   	   170	    51	    68	        0.015485	        0.004605	        0.052071	        5.479932	        88.81%
-                                   	   171	   170	   169	        0.018408	        0.005854	        0.057886	        6.923867	        99.82%
-                                   	   172	     6	    71	        0.010103	        0.002814	        0.036276	        9.863537	        73.61%
-                                   	   173	   172	    34	        0.012316	        0.003621	        0.041888	        9.589976	        94.95%
-                                   	   174	     9	    54	        0.006204	        0.001623	        0.023714	       24.000420	        62.11%
-                                   	   175	   174	    49	        0.007336	        0.002016	        0.026694	       21.330409	        86.60%
-                                   	   176	     7	    12	        0.004869	        0.001218	        0.019463	       21.771321	        94.86%
-                                   	   177	   176	    39	        0.006556	        0.001730	        0.024845	       19.805156	        83.72%
-                                   	   178	   177	    73	        0.007505	        0.002044	        0.027556	       16.039381	        58.41%
-                                   	   179	   178	   175	        0.008424	        0.002360	        0.030073	       18.496663	       100.00%
-                                   	   180	    43	    95	        0.002263	        0.000545	        0.009388	       20.364657	        74.15%
-                                   	   181	     2	    13	        0.002509	        0.000573	        0.010980	       23.119503	        75.51%
-                                   	   182	   181	    44	        0.005119	        0.001247	        0.021015	       23.112548	        89.58%
-                                   	   183	   182	    81	        0.005937	        0.001497	        0.023556	       21.315324	        69.96%
-                                   	   184	   183	   180	        0.007160	        0.001860	        0.027565	       20.834569	       100.00%
